party,convention,age,marches
NA,DNC,NA,4
NA,DNC,NA,3
NA,DNC,NA,5
NA,DNC,NA,NA
NA,DNC,NA,NA
Other,DNC,37,100
NA,DNC,NA,3
NA,DNC,NA,NA
NA,DNC,NA,5
NA,DNC,NA,1
NA,DNC,NA,2
NA,DNC,NA,NA
NA,DNC,NA,2
NA,DNC,NA,NA
NA,DNC,NA,3
NA,DNC,NA,3
NA,DNC,NA,NA
NA,DNC,NA,NA
NA,DNC,NA,3
Independent,DNC,24,5
NA,DNC,NA,10
NA,DNC,NA,10
NA,DNC,NA,8
NA,DNC,NA,20
Other,DNC,23,3
NA,DNC,NA,NA
NA,DNC,NA,2
NA,DNC,NA,3
NA,DNC,NA,NA
NA,DNC,NA,3
NA,DNC,NA,NA
Independent,DNC,35,50
Independent,DNC,24,2
NA,DNC,NA,NA
NA,DNC,NA,3
NA,DNC,NA,50
NA,DNC,NA,NA
NA,DNC,NA,NA
Democrat,DNC,31,3
NA,DNC,NA,NA
NA,DNC,NA,10
NA,DNC,NA,NA
NA,DNC,NA,NA
NA,DNC,NA,NA
NA,DNC,NA,NA
NA,DNC,NA,NA
NA,DNC,NA,NA
Democrat,DNC,21,7
NA,DNC,NA,50
NA,DNC,NA,NA
Democrat,DNC,28,4
NA,DNC,NA,3
NA,DNC,NA,4
NA,DNC,NA,NA
NA,DNC,NA,50
NA,DNC,NA,4
NA,DNC,NA,5
Democrat,DNC,28,8
Independent,DNC,NA,1
NA,DNC,NA,1
NA,DNC,NA,2
NA,DNC,NA,4
NA,DNC,NA,3
NA,DNC,NA,5
NA,DNC,NA,NA
NA,DNC,NA,NA
NA,DNC,NA,NA
NA,DNC,NA,0
NA,DNC,NA,3
NA,DNC,NA,NA
NA,DNC,NA,4
Democrat,DNC,27,1
NA,DNC,NA,1
NA,DNC,NA,1
NA,DNC,NA,NA
NA,DNC,NA,3
Democrat,DNC,24,3
NA,DNC,NA,4
NA,DNC,NA,2
Independent,DNC,36,6
NA,DNC,NA,NA
Democrat,DNC,40,4
NA,DNC,NA,NA
NA,DNC,NA,NA
NA,DNC,NA,1
Democrat,DNC,20,50
NA,DNC,NA,8
NA,DNC,NA,5
NA,DNC,NA,5
Independent,DNC,41,NA
Independent,DNC,25,4
NA,DNC,NA,1
NA,DNC,NA,7
Democrat,DNC,24,5
NA,DNC,NA,1
Independent,DNC,45,2
NA,DNC,NA,2
Democrat,DNC,34,3
NA,DNC,NA,NA
NA,DNC,NA,NA
NA,DNC,NA,NA
NA,DNC,NA,NA
NA,DNC,NA,5
NA,DNC,NA,NA
NA,DNC,NA,3
NA,DNC,NA,NA
NA,DNC,NA,5
NA,DNC,NA,NA
NA,DNC,NA,NA
NA,DNC,NA,3
NA,DNC,NA,NA
Democrat,DNC,38,1
NA,DNC,NA,NA
NA,DNC,NA,2
NA,DNC,NA,3
NA,DNC,NA,5
NA,DNC,NA,3
NA,DNC,NA,6
NA,DNC,NA,NA
NA,DNC,NA,50
NA,DNC,NA,50
NA,DNC,NA,10
Democrat,DNC,44,4
Independent,DNC,32,8
NA,DNC,NA,5
NA,DNC,NA,NA
NA,DNC,NA,4
NA,DNC,NA,50
NA,DNC,NA,3
Independent,DNC,24,4
NA,DNC,NA,5
Democrat,DNC,30,50
Independent,DNC,27,1
NA,DNC,NA,2
NA,DNC,NA,3
NA,DNC,NA,4
NA,DNC,NA,4
Democrat,DNC,28,50
Democrat,DNC,28,10
NA,DNC,NA,NA
NA,DNC,NA,4
NA,DNC,NA,NA
NA,DNC,NA,2
NA,DNC,NA,NA
NA,DNC,NA,1
Democrat,DNC,23,3
Independent,DNC,52,2
NA,DNC,NA,4
NA,DNC,NA,4
NA,DNC,NA,8
NA,DNC,NA,30
Other,DNC,41,3
NA,DNC,NA,3
