"X","cig_tax","female_leg","liberal","dem_gov","healthspendpc","state","year"
1021,0.220412,7.9,20.004862,1,4.203,"Alabama",2001
1022,1.17871,21.7,12.512105,1,5.227,"Alaska",2001
1023,0.731052,35.6,17.4226,0,3.443,"Arizona",2001
1024,0.426989,13.3,16.978746,0,4.035,"Arkansas",2001
1025,0.986364,28.3,23.753531,1,3.847,"California",2001
1026,0.233438,34,20.068963,0,3.979,"Colorado",2001
1027,0.506916,29.9,19.950317,0,5.502,"Connecticut",2001
1028,0.290995,25.8,49.497725,1,5.15,"Delaware",2001
1029,NA,NA,19.367573,NA,6.709,"District of Columbia",2001
1030,0.444811,23.8,17.508073,0,4.792,"Florida",2001
1031,0.154692,20.8,17.354721,1,3.852,"Georgia",2001
1032,1.02548,25,23.310871,1,4.133,"Hawaii",2001
1033,0.354817,24.8,10.197807,0,3.655,"Idaho",2001
1034,0.662183,26.6,17.451243,0,4.456,"Illinois",2001
1035,0.185209,17.3,14.417092,1,4.34,"Indiana",2001
1036,0.432941,22,13.178847,1,4.541,"Iowa",2001
1037,0.287046,32.7,11.300953,0,4.487,"Kansas",2001
1038,0.03992,10.9,12.362154,1,4.495,"Kentucky",2001
1039,0.320657,16,20.786756,0,4.33,"Louisiana",2001
1040,1.10572,30.1,20.752512,0.5,5.079,"Maine",2001
1041,0.79864,29.3,28.277197,1,4.614,"Maryland",2001
1042,0.764038,24.5,25.859332,0,5.59,"Massachusetts",2001
1043,0.873781,22.3,17.636585,0,4.274,"Michigan",2001
1044,0.547608,28.9,17.06911,0.5,4.86,"Minnesota",2001
1045,0.245403,12.6,18.117619,1,4.125,"Mississippi",2001
1046,0.203876,23.4,14.65004,1,4.502,"Missouri",2001
1047,0.229304,22.7,10.861526,0,4.239,"Montana",2001
1048,0.402213,18.4,9.0631747,0,4.588,"Nebraska",2001
1049,0.420415,34.9,20.036724,0,3.752,"Nevada",2001
1050,0.547047,29.2,25.815386,1,4.48,"New Hampshire",2001
1051,0.818941,15,17.04641,0,5.002,"New Jersey",2001
1052,0.267153,31.3,17.837479,0,3.843,"New Mexico",2001
1053,1.17911,21.8,21.216515,0,5.479,"New York",2001
1054,0.064836,18.8,15.48514,1,4.367,"North Carolina",2001
1055,0.526158,17,9.7886982,0,4.829,"North Dakota",2001
1056,0.284892,22,20.308649,0,4.632,"Ohio",2001
1057,0.311313,10.1,8.7440283,0,4.113,"Oklahoma",2001
1058,0.814642,33.3,24.530402,1,4.168,"Oregon",2001
1059,0.350377,13.4,21.057912,0,5.068,"Pennsylvania",2001
1060,1.05568,22.7,29.251864,0,5.093,"Rhode Island",2001
1061,0.092102,10.6,12.447205,1,4.272,"South Carolina",2001
1062,0.392025,15.2,11.420307,0,4.409,"South Dakota",2001
1063,0.17151,15.9,17.070537,0,4.509,"Tennessee",2001
1064,0.555749,18.8,12.681772,0,3.962,"Texas",2001
1065,0.623759,22.1,11.87024,0,3.293,"Utah",2001
1066,0.474202,27.8,26.215427,1,4.741,"Vermont",2001
1067,0.031328,16.4,16.766712,0,3.885,"Virginia",2001
1068,0.967733,38.8,24.522497,1,4.186,"Washington",2001
1069,0.229012,18.7,12.543022,1,5.294,"West Virginia",2001
1070,0.685958,24.2,13.49144,0,4.73,"Wisconsin",2001
1071,0.150403,15.6,10.29019,0,4.284,"Wyoming",2001
1072,0.216325,7.9,14.372731,1,4.554,"Alabama",2002
1073,1.14566,20,14.31514,1,5.772,"Alaska",2002
1074,0.711844,35.6,17.374513,0,3.772,"Arizona",2002
1075,0.453059,13.3,16.535512,0,4.381,"Arkansas",2002
1076,0.952811,28.3,24.333325,1,4.144,"California",2002
1077,0.226715,34,19.32536,0,4.255,"Colorado",2002
1078,0.492052,29.9,23.32073,0,5.937,"Connecticut",2002
1079,0.28523,25.8,46.435936,1,5.604,"Delaware",2002
1080,NA,NA,21.420053,NA,7.198,"District of Columbia",2002
1081,0.435207,23.8,18.905569,0,5.072,"Florida",2002
1082,0.151931,20.8,16.828884,1,4.174,"Georgia",2002
1083,0.985781,25,23.002759,1,4.496,"Hawaii",2002
1084,0.346173,26.7,12.094954,0,4.022,"Idaho",2002
1085,0.649442,26.6,21.718973,0,4.787,"Illinois",2002
1086,0.181842,17.3,15.302215,1,4.669,"Indiana",2002
1087,0.425055,22,18.391198,1,4.82,"Iowa",2002
1088,0.28226,32.7,14.737462,0,4.799,"Kansas",2002
1089,0.039202,10.9,15.429512,1,4.854,"Kentucky",2002
1090,0.314858,16,17.217095,0,4.597,"Louisiana",2002
1091,1.07892,30.1,20.540324,0.5,5.576,"Maine",2002
1092,0.781961,29.3,22.881375,1,4.994,"Maryland",2002
1093,0.739795,25.5,27.672094,0,6.094,"Massachusetts",2002
1094,0.857612,22.3,19.506954,0,4.539,"Michigan",2002
1095,0.537164,29.9,19.962427,0.5,5.238,"Minnesota",2002
1096,0.201,12.6,15.748567,1,4.454,"Mississippi",2002
1097,0.200256,22.8,17.367431,1,4.87,"Missouri",2002
1098,0.223765,24,14.43501,0,4.501,"Montana",2002
1099,0.395266,20.4,13.190506,0,4.898,"Nebraska",2002
